label	calls	tools	breaches
p49:030	5	{"Read": 4, "StructuredOutput": 1}	-
p49:031	5	{"Read": 4, "StructuredOutput": 1}	-
p49:032	6	{"Read": 4, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87aab9
p49:033	5	{"Read": 4, "StructuredOutput": 1}	-
p49:034	6	{"Read": 4, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls /tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87aab9b/
p49:035	5	{"Read": 4, "StructuredOutput": 1}	-
p49:036	5	{"Read": 4, "StructuredOutput": 1}	-
p49:037	5	{"Read": 3, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls -la \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87
p49:038	6	{"Read": 5, "StructuredOutput": 1}	-
p49:039	5	{"Read": 3, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87aab9
p49:040	6	{"Read": 4, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls -la \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87
p49:041	5	{"Read": 4, "StructuredOutput": 1}	-
p49:042	4	{"Read": 3, "StructuredOutput": 1}	-
p49:043	6	{"Read": 4, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls -la \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87
p49:044	6	{"Read": 5, "StructuredOutput": 1}	-
p49:045	5	{"Read": 4, "StructuredOutput": 1}	-
p49:046	5	{"Read": 4, "StructuredOutput": 1}	-
p49:047	7	{"Read": 5, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls -la \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87
p49:048	8	{"Read": 6, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "ls \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87aab9
rep:R01	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R02	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R03	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R04	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R05	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R06	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R07	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R08	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R09	5	{"Read": 3, "Grep": 1, "StructuredOutput": 1}	Grep:{"pattern": "(?i)fixed", "path": "/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-
rep:R10	6	{"Read": 4, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "wc -l \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655-4358c87a
rep:R11	5	{"Read": 3, "Grep": 1, "StructuredOutput": 1}	Grep:{"pattern": "lever|saddle|fixed", "path": "/tmp/claude-0/-home-user-ThreadSmith/00bda300-7
rep:R12	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R13	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R14	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R15	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R16	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R17	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R18	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R19	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R20	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R21	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R22	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R23	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R24	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R25	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R26	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R27	5	{"Read": 3, "Bash": 1, "StructuredOutput": 1}	Bash:{"command": "grep -in \"fixed\" \"/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-
rep:R28	5	{"Read": 3, "Grep": 1, "StructuredOutput": 1}	Grep:{"pattern": "fixed", "path": "/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655
rep:R29	6	{"Read": 4, "StructuredOutput": 2}	-
rep:R30	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R31	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R32	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R33	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R34	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R35	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R36	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R37	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R38	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R39	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R40	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R41	5	{"Read": 4, "StructuredOutput": 1}	-
rep:R42	5	{"Read": 3, "StructuredOutput": 2}	-
rep:R43	5	{"Read": 3, "Grep": 1, "StructuredOutput": 1}	Grep:{"pattern": "fixed", "path": "/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655
rep:R44	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R45	5	{"Read": 3, "Grep": 1, "StructuredOutput": 1}	Grep:{"pattern": "fixed", "path": "/tmp/claude-0/-home-user-ThreadSmith/00bda300-7321-5714-a655
rep:R46	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R47	4	{"Read": 3, "StructuredOutput": 1}	-
rep:R48	4	{"Read": 3, "StructuredOutput": 1}	-
agents with any breach: 24 of 96
