group,group_name,section_id,part,section_name,unit_id,unit_line,unit_kind,display,change_id,rid,lineup_order,round,kind,status,new_in_latest,latest_status,applied_in,scope,target_text,target_line,old,new,old_sentence,new_sentence,source_file,source_ref,idea,form_only
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L11.s4,11,sentence,full,CH-1219,D-902,1715,S96,recommendation,declined,no,anchored,none,span,repaired copy,11,"(Part II, Argument 1)","(Part II; Argument 1, Part XVI)","Two components no admitted change can separate are one kind at that level, whatever labels anyone attaches to them (Part II, Argument 1).","Two components no admitted change can separate are one kind at that level, whatever labels anyone attaches to them (Part II; Argument 1, Part XVI).",results/S96 Cross-examination - repaired copy - returns/s96_xexam_mimo_1.response.txt,"finding 9 (a), L11, wording given inline; ruling 'mimo 1 9 (a)' in results/S96 Reading of the replies.md, section 3",form,yes
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s1,13,sentence,full,CH-0182,B-8,329,S76,edit,applied,yes,anchored,file 11,span,file 10 (authority/10 Claude Fable Semantics - standalone theory.md),13,of this semantics,here,Correspondence between a representation and what it represents is not a primitive of this semantics.,Correspondence between a representation and what it represents is not a primitive here.,"authority/11 Claude Fable Semantics - standalone theory, revision 1.md","sentence diff, file 10 -> file 11: changed f10 L13 s1 -> f11 L15 s1; S81 det 03 §1 place M2",layers,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s1,13,sentence,full,CH-0584,D-3,901,S95,edit,applied,yes,anchored,scrubbed copy,span,draft 5,13,is not a primitive here,is not an import here,Correspondence between a representation and what it represents is not a primitive here.,Correspondence between a representation and what it represents is not an import here.,tests/S95 Scrub - scripts/replacements.json,entries[2]; line 13; swap; TRUTH-OR-FOUNDATION,inputs,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s1,13,sentence,term line,CH-1066,D-524,1231,S95,edit,applied,n/a,anchored,scrubbed copy,term,draft 5,,"primitive(s), primitive 2","import(s), import 2",,,"tests/S95 Scrub - vocabulary, as used.md",table row at file line 53 (section: Definition and dependence),inputs,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s1,13,sentence,term line,CH-1126,D-661,1368,S95,recommendation,applied,n/a,anchored,scrubbed copy,term,draft 5,,"**primitive**, the two **primitives**, ""primitive 2"" (Θ and N)","**import**, the two **imports**, ""import 2""",,,"tests/S95 Scrub - vocabulary, proposed.md","section 2.4, table row at file line 83; sceptic's row 31",inputs,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s3,13,sentence,full,CH-0183,B-9,330,S76,edit,applied,no,anchored,file 11,sentence,file 10 (authority/10 Claude Fable Semantics - standalone theory.md),13,A correspondence can be *selected* — produced by blind variation and survival on a history of predictions — or *constructed* — produced by an episode of conjecture and criticism — or merely *declared* by whoever writes the model down.,"A correspondence can be *selected*, produced by variation and survival on a history of encountered changes; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.",A correspondence can be *selected* — produced by blind variation and survival on a history of predictions — or *constructed* — produced by an episode of conjecture and criticism — or merely *declared* by whoever writes the model down.,"A correspondence can be *selected*, produced by variation and survival on a history of encountered changes; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","authority/11 Claude Fable Semantics - standalone theory, revision 1.md","sentence diff, file 10 -> file 11: changed f10 L13 s3 -> f11 L15 s3; S81 det 03 §1 place M2",provenance,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s3,13,sentence,full,CH-0434,B-301,622,S89,recommendation,applied,n/a,anchored,"revision 2 as change-list entry W37.1, whose NEW text is verbatim in: draft 3 to latest text",sentence,"file 11 (authority/11 Claude Fable Semantics - standalone theory, revision 1.md)",15,"A correspondence can be *selected*, produced by variation and survival on a history of encountered changes; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","[no wording given] define ""selection"" in the theory as selection without a represented target, note D p.78's wider usage, and put ""blind"" back in 11's Part 0.","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.",,results/S89 The theory against its sources - Deutsch and Marletto.md,§9 'Handling' (line 160); summary table row 9,provenance,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s3,13,sentence,full,CH-0434,C-3,633,S90,edit,applied,yes,anchored,file 13 draft 3; file 13 draft 4; file 13 draft 5; scrubbed copy; repaired copy; latest text,span,"file 11 (authority/11 Claude Fable Semantics - standalone theory, revision 1.md, md5 5e494c1095d920d128b9a79de378f923)",15,"A correspondence can be *selected*, produced by variation and survival on a history of encountered changes;","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes, with no represented target in that history;","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","tests/Revision 2 - change list, draft of 23 September.md","change list draft 5, entry W37.1 (""Part 0's account of selection: no represented target in the history""), STATUS applied, KIND ORDER, FILE-11 LINE 15; wording first in change list draft 3 (99e9cd0); carried as S93 part F X01",provenance,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s3,13,sentence,full,CH-0434,C-91,729,S90,recommendation,applied,yes,anchored,file 13 draft 3; file 13 draft 4; file 13 draft 5; scrubbed copy; repaired copy; latest text,span,"file 13 draft 2 (as sent), theory text (md5 9aecf2f30ce0b4523606b2b8409fdf37)",13,by blind variation and,by variation and,"A correspondence can be *selected*, produced by blind variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.",results/S90 reading rulings/ruling s90_xexam_mimo_A1 R01.md,"S90 ruling R01 (W37.1) on s90_xexam_mimo_A1 point 3: FIX (batch 1); the wording as applied in file 13 draft 3 (entry W37.1, C-3); read off the line diff file 13 draft 2 (as sent) -> file 13 draft 3 at line 13",provenance,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s3,13,sentence,full,CH-0434,C-92,730,S90,recommendation,applied,yes,anchored,file 13 draft 3; file 13 draft 4; file 13 draft 5; scrubbed copy; repaired copy; latest text,span,"file 13 draft 2 (as sent), theory text (md5 9aecf2f30ce0b4523606b2b8409fdf37)",13,by blind variation and,by variation and,"A correspondence can be *selected*, produced by blind variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.",results/S90 reading rulings/ruling s90_xexam_atria_A1 item 1 R01.md,"S90 ruling R01 (W37.1) on s90_xexam_atria_A1 point 1: FIX, the same text as batch 1 (batch 3); the wording as applied in file 13 draft 3 (entry W37.1, C-3); read off the line diff file 13 draft 2 (as sent) -> file 13 draft 3 at line 13",provenance,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s3,13,sentence,full,CH-0434,C-115,742,S90,recommendation,applied,yes,anchored,file 13 draft 3; file 13 draft 4; file 13 draft 5; scrubbed copy; repaired copy; latest text,span,"file 13 draft 2 (as sent), theory text (md5 9aecf2f30ce0b4523606b2b8409fdf37)",13,"produced by blind variation and survival on a history of encountered changes, with no represented target in that history","produced by variation and survival on a history of encountered changes, with no represented target in that history","A correspondence can be *selected*, produced by blind variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.",results/S90 Cross-examination - revision 2 draft - returns/parts/s90_xexam_mimo_A1.response.txt,"s90_xexam_mimo_A1 point 3, proposed repair (delete ""blind""); taken by ruling R01 (W37.1) (batch 1), and by the R01 ruling on Atria A1 (batch 3)",provenance,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s3,13,sentence,full,CH-0465,C-70,688,S90,edit,superseded,no,anchored,file 13 draft 1 (as sent); file 13 draft 2 (as sent),span,"file 11 (authority/11 Claude Fable Semantics - standalone theory, revision 1.md, md5 5e494c1095d920d128b9a79de378f923)",15,"A correspondence can be *selected*, produced by variation and survival on a history of encountered changes;","A correspondence can be *selected*, produced by blind variation and survival on a history of encountered changes, with no represented target in that history;","A correspondence can be *selected*, produced by variation and survival on a history of encountered changes; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","A correspondence can be *selected*, produced by blind variation and survival on a history of encountered changes, with no represented target in that history; or *constructed*, produced by an episode of conjecture and criticism; or merely *declared* by whoever writes the model down.","tests/Revision 2 - change list, draft of 23 September.md","change list entry W37.1, OLD/NEW as in change list draft 1 and change list draft 2 (git 12e73da, 587eebf); replaced in change list draft 3; the draft-5 wording is C-3; carried as S90 brief (first 48 changes) C01, S90 part A1 R01",provenance,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s4,13,sentence,full,CH-0184,B-10,331,S76,edit,applied,yes,anchored,file 11,sentence,file 10 (authority/10 Claude Fable Semantics - standalone theory.md),13,"The three are distinguished by their histories, not their outputs, and the semantics keeps them apart.","The three are told apart by their histories, not their outputs, and the semantics keeps them apart (Part IV).","The three are distinguished by their histories, not their outputs, and the semantics keeps them apart.","The three are told apart by their histories, not their outputs, and the semantics keeps them apart (Part IV).","authority/11 Claude Fable Semantics - standalone theory, revision 1.md","sentence diff, file 10 -> file 11: changed f10 L13 s4 -> f11 L15 s4; S81 det 03 §1 place M2",frame,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s7,13,sentence,full,CH-0585,D-4,902,S95,edit,applied,yes,anchored,scrubbed copy,sentence,draft 5,13,"Declaration is permitted only as a modelling convenience, and a claim about creativity cannot rest on it.","Declaration is used only as a modelling convenience, and a claim about creativity cannot depend on it.","Declaration is permitted only as a modelling convenience, and a claim about creativity cannot rest on it.","Declaration is used only as a modelling convenience, and a claim about creativity cannot depend on it.",tests/S95 Scrub - scripts/replacements.json,entries[3]; line 13; swap; TRUTH-OR-FOUNDATION,creativity,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s7,13,sentence,term line,CH-1088,D-546,1253,S95,edit,applied,n/a,anchored,scrubbed copy,term,draft 5,,"permitted (l. 13, 75)",used only; possible under,,,"tests/S95 Scrub - vocabulary, as used.md","table row at file line 80 (section: Truth, fact and error)",physical,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s7,13,sentence,term line,CH-1161,D-620,1327,S95,recommendation,applied,n/a,anchored,scrubbed copy,term,draft 5,13,"""Declaration is permitted only as a modelling convenience"" (permission from the semantics)","""Declaration is used only as a modelling convenience""",,,"tests/S95 Scrub - vocabulary, sceptic's rulings.md","section 3 (3. Occurrences the proposal does not cover), row at file line 120",creativity,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L13.s7,13,sentence,term line,CH-1177,D-668,1375,S95,recommendation,applied,n/a,anchored,scrubbed copy,term,draft 5,,"""rest on"" (l. 13, 598)","""use"" (""the definitions that use them""); l. 13: ""a claim about creativity cannot take it as an import""",,,"tests/S95 Scrub - vocabulary, proposed.md","section 2.4, table row at file line 90; sceptic's row 33",inputs,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L15.s2,15,sentence,full,CH-0185,B-11,332,S76,edit,applied,no,anchored,file 11,sentence,file 10 (authority/10 Claude Fable Semantics - standalone theory.md),15,"A question — its target, its scope of admitted changes, what it asks — can be found as well as answered, and the semantics represents both.","A question, meaning its target, its scope of admitted changes and what it asks, can be found as well as answered, and the semantics represents both (Part III, Derivation 5).","A question — its target, its scope of admitted changes, what it asks — can be found as well as answered, and the semantics represents both.","A question, meaning its target, its scope of admitted changes and what it asks, can be found as well as answered, and the semantics represents both (Part III, Derivation 5).","authority/11 Claude Fable Semantics - standalone theory, revision 1.md","sentence diff, file 10 -> file 11: changed f10 L15 s2 -> f11 L17 s2",question,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L15.s2,15,sentence,full,CH-0586,D-5,903,S95,edit,applied,yes,anchored,scrubbed copy,span,draft 5,15,Derivation,Argument,"A question, meaning its target, its scope of admitted changes and what it asks, can be found as well as answered, and the semantics represents both (Part III, Derivation 5).","A question, meaning its target, its scope of admitted changes and what it asks, can be found as well as answered, and the semantics represents both (Part III, Argument 5).",tests/S95 Scrub - scripts/replacements.json,entries[4]; line 15; swap; LISTED; generated by an AUTO rule of replacements_source.py,form,yes
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L15.s2,15,sentence,full,CH-1220,D-903,1716,S96,recommendation,declined,no,anchored,none,span,repaired copy,15,"(Part III, Argument 5)","(Part III; Argument 5, Part XVI)","A question, meaning its target, its scope of admitted changes and what it asks, can be found as well as answered, and the semantics represents both (Part III, Argument 5).","A question, meaning its target, its scope of admitted changes and what it asks, can be found as well as answered, and the semantics represents both (Part III; Argument 5, Part XVI).",results/S96 Cross-examination - repaired copy - returns/s96_xexam_mimo_1.response.txt,"finding 9 (a), L15, wording given inline; ruling 'mimo 1 9 (a)' in results/S96 Reading of the replies.md, section 3",form,yes
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L15.s3,15,sentence,full,CH-0186,B-12,333,S76,edit,applied,yes,anchored,file 11,span,file 10 (authority/10 Claude Fable Semantics - standalone theory.md),15,distinguishes,separates,"This is what distinguishes it from any class in which questions are inputs: such a class cannot represent question-finding, and question-finding is at least half of creativity.","This is what separates it from any class in which questions are inputs: such a class cannot represent question-finding, and question-finding is at least half of creativity.","authority/11 Claude Fable Semantics - standalone theory, revision 1.md","sentence diff, file 10 -> file 11: changed f10 L15 s3 -> f11 L17 s3",creativity,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L15.s3,15,sentence,full,CH-0996,D-901,1714,S96,recommendation,superseded,no,anchored,none,sentence,repaired copy,15,"This is what separates it from any class in which questions are inputs: such a class cannot represent question-finding, and question-finding is at least half of creativity.","This is what separates it from any class in which questions are inputs: such a class cannot represent question-finding, and question-finding is part of creativity itself, not only the answering of questions.","This is what separates it from any class in which questions are inputs: such a class cannot represent question-finding, and question-finding is at least half of creativity.","This is what separates it from any class in which questions are inputs: such a class cannot represent question-finding, and question-finding is part of creativity itself, not only the answering of questions.",results/S96 Cross-examination - repaired copy - returns/s96_xexam_mimo_1.response.txt,"finding 8, proposed wording (code block 13); ruling 'mimo 1 8' in results/S96 Reading of the replies.md, section 3",creativity,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L15.s3,15,sentence,full,CH-0996,D-419,1778,S97,edit,applied,yes,anchored,latest text,span,repaired copy,15,and question-finding is at least half of creativity.,"and creativity includes finding questions, not only answering them.","This is what separates it from any class in which questions are inputs: such a class cannot represent question-finding, and question-finding is at least half of creativity.","This is what separates it from any class in which questions are inputs: such a class cannot represent question-finding, and creativity includes finding questions, not only answering them.",tests/S96 Repair - scripts/replacements_stage3.json,entries[12]; line 15; group X; ruling: mimo 1 8,creativity,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L17.s1,17,sentence,full,CH-0587,D-6,904,S95,edit,applied,yes,anchored,scrubbed copy,span,draft 5,17,transports between organizations checked by change-fidelity alone,transports between organizations tested by change-fidelity alone,"The **constitutive conjecture** is this: explanatory creativity is fully characterized by (i) organizations and the changes they admit, (ii) transports between organizations checked by change-fidelity alone, (iii) the provenance of those transports and of the questions they serve, and (iv) their physical realization.","The **constitutive conjecture** is this: explanatory creativity is fully characterized by (i) organizations and the changes they admit, (ii) transports between organizations tested by change-fidelity alone, (iii) the provenance of those transports and of the questions they serve, and (iv) their physical realization.",tests/S95 Scrub - scripts/replacements.json,entries[5]; line 17; swap; MISSED,layers,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L17.s1,17,sentence,term line,CH-1131,D-690,1397,S95,recommendation,superseded,n/a,anchored,none,term,draft 5,,"genuine, genuinely (l. 17, 269, 273, 538, 544, 610)","dropped, or: l. 610 ""Argument 8. Equivariance under structure-preserving recoding""; l. 538 (Part XV (B)) ""an explanation, argued to be one and not a non-explanation by an argument that does not use (E), whose organization …""",,,"tests/S95 Scrub - vocabulary, proposed.md","section 2.5, table row at file line 117; sceptic's row 40",inputs,no
